hour,avg_temp_F,temp_F,month,dom,year,doy
1,49.59523823000003,47.06780000000003,3,7,2016,67
2,48.77655115778691,46.421600000000026,3,7,2016,67
3,48.0271915580569,44.077460000000016,3,7,2016,67
4,47.60468460850559,45.84200000000002,3,7,2016,67
5,46.8803347834646,43.55906000000006,3,7,2016,67
6,46.68511980325917,45.38480000000003,3,7,2016,67
7,47.14141536869088,45.42800000000004,3,7,2016,67
8,47.325581563971774,43.78532000000003,3,7,2016,67
9,49.10887282608699,46.490000000000045,3,7,2016,67
10,51.91760084828396,47.62760000000003,3,7,2016,67
11,54.474579374028025,48.765200000000064,3,7,2016,67
12,56.83308511115448,48.689960000000056,3,7,2016,67
13,58.272638755887,51.231200000000044,3,7,2016,67
14,59.74750207345975,52.02680000000002,3,7,2016,67
15,60.299873328718384,53.48480000000003,3,7,2016,67
16,60.288751772979424,53.376800000000046,3,7,2016,67
17,60.27012598527073,53.162600000000054,3,7,2016,67
18,59.2518929464286,52.221200000000046,3,7,2016,67
19,57.89326597444092,51.008000000000045,3,7,2016,67
20,55.96643418590767,49.65679625000003,3,7,2016,67
21,54.306712109375034,48.305603750000046,3,7,2016,67
22,53.04611058386841,47.17940000000005,3,7,2016,67
23,51.525696246006426,46.169600000000045,3,7,2016,67
0,50.36648750000003,45.707540000000066,3,8,2016,68
1,49.59523823000003,45.69440000000003,3,8,2016,68
2,48.77655115778691,45.07034000000005,3,8,2016,68
3,48.0271915580569,45.888260000000024,3,8,2016,68
4,47.60468460850559,45.118400000000044,3,8,2016,68
5,46.8803347834646,44.05226000000002,3,8,2016,68
6,46.68511980325917,42.910160000000054,3,8,2016,68
7,47.14141536869088,43.47680000000004,3,8,2016,68
8,47.325581563971774,44.14640000000004,3,8,2016,68
9,49.10887282608699,46.24754000000004,3,8,2016,68
10,51.91760084828396,48.65240750000002,3,8,2016,68
11,54.474579374028025,50.50652000000004,3,8,2016,68
12,56.83308511115448,53.76200000000006,3,8,2016,68
13,58.272638755887,54.68360000000005,3,8,2016,68
14,59.74750207345975,55.60520000000004,3,8,2016,68
15,60.299873328718384,54.185720000000025,3,8,2016,68
16,60.288751772979424,55.30519625000003,3,8,2016,68
17,60.27012598527073,53.979080000000046,3,8,2016,68
18,59.2518929464286,53.77280000000003,3,8,2016,68
19,57.89326597444092,52.16540000000002,3,8,2016,68
20,55.96643418590767,50.55800000000003,3,8,2016,68
21,54.306712109375034,47.73794000000004,3,8,2016,68
22,53.04611058386841,48.30800000000003,3,8,2016,68
23,51.525696246006426,45.569660000000034,3,8,2016,68
0,50.36648750000003,46.23800000000004,3,9,2016,69
1,49.59523823000003,45.404600000000045,3,9,2016,69
2,48.77655115778691,44.63186,3,9,2016,69
3,48.0271915580569,43.053620000000016,3,9,2016,69
4,47.60468460850559,41.72360000000002,3,9,2016,69
5,46.8803347834646,41.90144000000005,3,9,2016,69
6,46.68511980325917,41.96120000000006,3,9,2016,69
7,47.14141536869088,42.48680000000002,3,9,2016,69
8,47.325581563971774,43.01240000000003,3,9,2016,69
9,49.10887282608699,46.27256000000003,3,9,2016,69
10,51.91760084828396,48.52760000000003,3,9,2016,69
11,54.474579374028025,51.78056000000004,3,9,2016,69
12,56.83308511115448,54.02840000000002,3,9,2016,69
13,58.272638755887,54.47900750000002,3,9,2016,69
14,59.74750207345975,54.822920000000025,3,9,2016,69
15,60.299873328718384,55.11092000000002,3,9,2016,69
16,60.288751772979424,56.643800000000034,3,9,2016,69
17,60.27012598527073,55.25852000000005,3,9,2016,69
18,59.2518929464286,55.122800000000055,3,9,2016,69
19,57.89326597444092,52.988000000000035,3,9,2016,69
20,55.96643418590767,51.031400000000026,3,9,2016,69
21,54.306712109375034,49.98812000000004,3,9,2016,69
22,53.04611058386841,49.27820000000003,3,9,2016,69
23,51.525696246006426,48.14066750000005,3,9,2016,69
0,50.36648750000003,46.74428375000001,3,10,2016,70
1,49.59523823000003,45.438800000000015,3,10,2016,70
2,48.77655115778691,45.24080000000003,3,10,2016,70
3,48.0271915580569,43.42568000000002,3,10,2016,70
4,47.60468460850559,43.707200000000014,3,10,2016,70
5,46.8803347834646,41.88308000000003,3,10,2016,70
6,46.68511980325917,43.079000000000015,3,10,2016,70
7,47.14141536869088,43.93220000000004,3,10,2016,70
8,47.325581563971774,44.47220000000003,3,10,2016,70
9,49.10887282608699,47.12306000000005,3,10,2016,70
10,51.91760084828396,49.74440000000005,3,10,2016,70
11,54.474579374028025,50.30625312500005,3,10,2016,70
12,56.83308511115448,53.32627625000005,3,10,2016,70
13,58.272638755887,52.61600000000002,3,10,2016,70
14,59.74750207345975,54.96152000000004,3,10,2016,70
15,60.299873328718384,55.09130000000003,3,10,2016,70
16,60.288751772979424,55.58360000000005,3,10,2016,70
17,60.27012598527073,55.40360000000002,3,10,2016,70
18,59.2518929464286,54.40136000000005,3,10,2016,70
19,57.89326597444092,52.849400000000024,3,10,2016,70
20,55.96643418590767,50.66600000000003,3,10,2016,70
21,54.306712109375034,50.01440000000001,3,10,2016,70
